COUNTY_FIPS,County_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
29021,88460,79,83,90,57,78,59,49,71,.88606697,.17223626,.17668843,.11695839,.40786299,.088833168,.37649623,.024208233
29023,42656,85,97,73,83,73,54,23,93,1.1314585,.23727065,.15558788,.1698603,.53670448,.085417941,.36308724,.015741305
29025,9039,55,76,31,43,61,13,72,78,.20309287,.1585898,.11456559,.10212009,.44705585,.0708986,.23880187,.039296512
29027,44889,32,30,55,71,18,23,4,86,-.54277271,.10639342,.13579677,.1379344,.48963866,.043135289,.27490139,.0087647904
29029,45466,31,63,2,37,7,3,18,86,-.56743437,.14759232,.068298742,.095563434,.49506733,.032374773,.19293869,.013972928
29031,78491,53,79,33,31,41,50,27,56,.14041899,.16375761,.1166905,.089746639,.38057092,.057950936,.3502399,.016929107
29033,8781,49,61,39,74,62,17,15,82,.0087366812,.1450364,.12234043,.14165042,.4729766,.071652867,.25749359,.013417071
29035,6147,45,50,65,79,51,9,10,93,-.11460333,.13349999,.14660691,.15208136,.53946328,.063437633,.22588941,.012001715
29037,103597,11,20,41,20,6,12,26,14,-1.3282013,.089747481,.12496157,.075782724,.29284066,.031908475,.23497611,.016444556
29039,14043,57,75,26,62,49,29,26,96,.24325889,.15759458,.11079324,.12316384,.59731668,.061109208,.29287916,.016432729
29041,7483,26,56,3,34,9,8,6,79,-.72687638,.13987848,.0731171,.092705168,.45168611,.035368577,.21742368,.0096798213
29043,85658,16,26,30,23,1,17,44,35,-1.0878968,.099596091,.11365531,.079673834,.34580562,.021077579,.25751305,.022594407
29045,6779,50,68,20,71,71,16,41,41,.048405733,.14950167,.10342857,.13731219,.35520732,.08280015,.25141138,.021452766
29047,242516,12,14,48,12,18,36,23,6,-1.2846804,.081668369,.13189977,.066597387,.26711568,.043490652,.3134878,.015728096
29049,20500,12,18,56,23,10,12,7,51,-1.2598537,.08866623,.13802175,.08036536,.37128761,.03632139,.23578329,.010639599
29051,76723,26,28,70,21,55,45,8,43,-.73303503,.10347426,.15135938,.077128969,.35835466,.067254759,.33706972,.011076475
29053,17660,38,42,46,51,28,23,34,90,-.36252156,.12082631,.1294878,.11304063,.5095703,.050179772,.27434736,.018915117
29055,24154,72,87,23,97,22,26,46,94,.67517269,.18483852,.10707364,.22107647,.55403543,.045520987,.28565463,.023073711
29057,7578,64,94,18,65,23,11,54,92,.45654911,.21513836,.10080454,.12822862,.52589881,.046610169,.23207301,.02607562
29059,16617,47,50,5,83,53,13,60,95,-.036226179,.13350433,.080706783,.16591461,.58685076,.066033177,.23933001,.030117571
29061,8295,51,61,6,78,78,6,59,78,.060624331,.14549054,.084230229,.15035282,.44086021,.089950576,.20691927,.028995058
29063,12526,46,43,20,65,65,34,42,100,-.10661059,.12192467,.10376188,.12669297,.98201126,.075650118,.30890465,.021539269
29065,15545,76,95,31,83,39,20,59,86,.75942165,.22405228,.11434814,.16783154,.49491054,.056819964,.26495054,.029037828
