mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.4376025915145874,0.09732939449471734,0.027193307876586914,0.009501968921079185,auto,0.0006951927961775605,"{'solver': 'auto', 'alpha': 0.0006951927961775605}",-0.0025330392943916265,-0.0025617519535237514,-0.004357296246221545,-0.0017819574538457223,-0.003332957282963592,-0.008063000837869101,-0.0022022077204940952,-0.0032781541086354983,-0.0033339225551660308,-0.0027110394663678334,-0.00341553269194788,0.0016930151488712217,129
0.36831905841827395,0.10592051877992195,0.019960904121398927,0.015507144365428561,svd,0.0006951927961775605,"{'solver': 'svd', 'alpha': 0.0006951927961775605}",-0.002533039294391631,-0.002561751953543772,-0.004357296246235612,-0.0017819574538581922,-0.00333295728291594,-0.008063000837885451,-0.002202207720482738,-0.003278154108637037,-0.003333922555166018,-0.0027110394663678603,-0.0034155326919484254,0.0016930151488753122,131
0.3828128337860107,0.1323911463300409,0.03126270771026611,0.01697516871912726,cholesky,0.0006951927961775605,"{'solver': 'cholesky', 'alpha': 0.0006951927961775605}",-0.0025330392943916265,-0.0025617519535237514,-0.004357296246221545,-0.0017819574538457223,-0.003332957282963592,-0.008063000837869101,-0.0022022077204940952,-0.0032781541086354983,-0.0033339225551660308,-0.0027110394663678334,-0.00341553269194788,0.0016930151488712217,129
0.04669642448425293,0.0733552501698887,0.000565338134765625,0.0007596186981981215,lsqr,0.0006951927961775605,"{'solver': 'lsqr', 'alpha': 0.0006951927961775605}",-0.0025389751467074406,-0.0025382907233382898,-0.004303752904831886,-0.0017586153641371343,-0.0033199944174419358,-0.007988602167362161,-0.0021686727812974555,-0.003249254803512601,-0.0033317693480245034,-0.0027058463089317223,-0.003390377396558513,0.0016757374469879465,106
0.03194637298583984,0.014083209671094136,0.000534510612487793,0.00038983361680848755,sparse_cg,0.0006951927961775605,"{'solver': 'sparse_cg', 'alpha': 0.0006951927961775605}",-0.00253284942630577,-0.0025614567191676574,-0.0043572848744858235,-0.0017809373378033164,-0.0033321962826320098,-0.008063637232448715,-0.0022033467262369284,-0.003278163926318313,-0.003334379045661982,-0.002711773957513137,-0.0034156025528573656,0.0016932017792160396,132
0.5103140830993652,0.04039812736145,0.002530956268310547,0.0033822081466489203,sag,0.0006951927961775605,"{'solver': 'sag', 'alpha': 0.0006951927961775605}",-0.00252436449187479,-0.002521500368947202,-0.004193697759616344,-0.0017403249715839389,-0.003173507693967441,-0.0074632611967494775,-0.0021607189769825355,-0.003198918991100236,-0.003302005261848107,-0.002707239528153478,-0.003298553924082355,0.0015312486669100598,88
0.5337412357330322,0.021954899983179732,0.003424215316772461,0.0033765216946357226,saga,0.0006951927961775605,"{'solver': 'saga', 'alpha': 0.0006951927961775605}",-0.0025167515128902062,-0.0024926754982230867,-0.004146656249913103,-0.0017256428422252504,-0.0031238356913133813,-0.007103211395081577,-0.0021146373939333832,-0.003189295074239396,-0.0032828098226192867,-0.0026808259555742625,-0.003237634143601293,0.0014393834157829589,73
0.4201324224472046,0.10284756076367185,0.03606836795806885,0.03006051404940576,auto,0.0018329807108324356,"{'solver': 'auto', 'alpha': 0.0018329807108324356}",-0.0025329208084418128,-0.0025616574248850323,-0.004356890245216741,-0.0017818046892261598,-0.003332432957698919,-0.008062136068270307,-0.0022019199504365854,-0.0032779852701606297,-0.0033338348188696786,-0.00271104203057953,-0.0034152624263785398,0.0016928057338291731,126
0.34216794967651365,0.05515235248225929,0.018881940841674806,0.01598557224337009,svd,0.0018329807108324356,"{'solver': 'svd', 'alpha': 0.0018329807108324356}",-0.0025329208084418097,-0.002561657424893203,-0.00435689024522245,-0.0017818046892286526,-0.00333243295768271,-0.008062136068274727,-0.0022019199504267678,-0.0032779852701590216,-0.0033338348188696456,-0.002711042030579542,-0.0034152624263778532,0.0016928057338308476,125
0.43438067436218264,0.06560635292279611,0.03784656524658203,0.01235942064866535,cholesky,0.0018329807108324356,"{'solver': 'cholesky', 'alpha': 0.0018329807108324356}",-0.0025329208084418128,-0.0025616574248850323,-0.004356890245216741,-0.0017818046892261598,-0.003332432957698919,-0.008062136068270307,-0.0022019199504365854,-0.0032779852701606297,-0.0033338348188696786,-0.00271104203057953,-0.0034152624263785398,0.0016928057338291731,126
0.0407146692276001,0.06346155686787328,0.0005808830261230469,0.00046544733278293545,lsqr,0.0018329807108324356,"{'solver': 'lsqr', 'alpha': 0.0018329807108324356}",-0.002538814792918081,-0.0025382454874793444,-0.00430352816227719,-0.0017585813231051203,-0.003319527273722778,-0.00798784740174563,-0.002168570445809194,-0.0032491697441467374,-0.003331701453616668,-0.002705879402629414,-0.003390186548745016,0.001675540880578703,105
0.02484889030456543,0.008530797917669147,0.0003034353256225586,0.00020824907004697994,sparse_cg,0.0018329807108324356,"{'solver': 'sparse_cg', 'alpha': 0.0018329807108324356}",-0.0025327829773673966,-0.0025614276489067025,-0.004356871883572836,-0.0017807996543791882,-0.003331566440510474,-0.008063270935823139,-0.002203080780906314,-0.003278009044263482,-0.0033339758355107013,-0.002711734836048746,-0.003415352003728898,0.0016931234503865242,128
0.487681245803833,0.03772471670170484,0.002442193031311035,0.0033979648406915206,sag,0.0018329807108324356,"{'solver': 'sag', 'alpha': 0.0018329807108324356}",-0.002524287382093785,-0.0025215572889745086,-0.004193783486562886,-0.0017404644147576644,-0.0031733924000054044,-0.007462501075127326,-0.002160714204511224,-0.003198865311965138,-0.00330207959768855,-0.002707214443307214,-0.0032984859604993704,0.0015310363951895542,87
0.4999995708465576,0.02291668322840486,0.0018338918685913085,0.0019225121657640998,saga,0.0018329807108324356,"{'solver': 'saga', 'alpha': 0.0018329807108324356}",-0.002516862484505774,-0.00249254611390652,-0.004146527442742121,-0.0017255287003388703,-0.0031237821168885477,-0.007103131183580293,-0.0021144314353104482,-0.0031890791986970615,-0.0032829608470497885,-0.0026807652521272647,-0.0032375614775146688,0.0014393869123175208,72
0.4367734432220459,0.07165336952566581,0.0272613525390625,0.007457149823203629,auto,0.004832930238571752,"{'solver': 'auto', 'alpha': 0.004832930238571752}",-0.0025326135628869787,-0.0025614094002927375,-0.004355825735976111,-0.0017814069444020777,-0.003331057840721674,-0.008059860868760794,-0.002201170832854165,-0.003277541949445722,-0.003333606360823747,-0.002711044930188363,-0.0034145538426352375,0.00169225389602908,122
