mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.11329550743103027,0.001443121236467561,0.0003679513931274414,3.4239439817548025e-05,110,3,7,4,0.06041666666666667,"{'n_estimators': 110, 'min_samples_split': 3, 'min_samples_leaf': 7, 'max_depth': 4, 'learning_rate': 0.06041666666666667}",-0.001517238295946046,-0.0020778833047637147,-0.0033700841600322836,-0.0019195844563781605,-0.0022238042036156615,-0.005597998165577337,-0.0015993666756728719,-0.0023249480700795926,-0.0023501351347756244,-0.0017431704004612107,-0.0024724212867302505,0.0011550427135564331,188
0.2323671340942383,0.0016803767982845172,0.0005554914474487305,4.151174204194356e-05,120,2,3,8,0.06041666666666667,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_depth': 8, 'learning_rate': 0.06041666666666667}",-0.0017840546266172485,-0.002673604427177309,-0.0035054891871762438,-0.0022950791636840396,-0.0023476276076828057,-0.005663717272324833,-0.0015637043615166386,-0.0021617167036773063,-0.0027132677139133903,-0.0018943928566244482,-0.0026602653920394263,0.0011302442186049526,269
0.07861731052398682,0.00037668542662275294,0.00031344890594482423,6.648459290719386e-06,60,7,19,6,0.020833333333333336,"{'n_estimators': 60, 'min_samples_split': 7, 'min_samples_leaf': 19, 'max_depth': 6, 'learning_rate': 0.020833333333333336}",-0.0014443269546724601,-0.002060854295795173,-0.003201545467860502,-0.0017193410993395397,-0.0021287746493847976,-0.005615696420819524,-0.0013994300611954455,-0.0021004062266311153,-0.0021674444914085806,-0.0016404403741431077,-0.002347826004125025,0.001193442808804145,63
0.13910884857177735,0.002092125109592721,0.0004038095474243164,4.059492732630364e-05,140,10,18,4,0.04854166666666667,"{'n_estimators': 140, 'min_samples_split': 10, 'min_samples_leaf': 18, 'max_depth': 4, 'learning_rate': 0.04854166666666667}",-0.0013722185614861958,-0.002022632814420132,-0.0030678102061395857,-0.0018589843681223626,-0.0022362805004846782,-0.005594283646648527,-0.001377042734133883,-0.0021927340982227845,-0.0023001639191897816,-0.0016420952524195775,-0.002366424610126751,0.0011760176723351896,88
0.22492947578430175,0.0009598313610056781,0.0004949092864990235,2.346765591698647e-05,160,19,10,6,0.03270833333333333,"{'n_estimators': 160, 'min_samples_split': 19, 'min_samples_leaf': 10, 'max_depth': 6, 'learning_rate': 0.03270833333333333}",-0.0014901441867707149,-0.002194291691854052,-0.0035358433437943015,-0.001859038950741717,-0.0021277207736832655,-0.005469482025470894,-0.0014705269846305492,-0.0023969298434286445,-0.002267452373879231,-0.0018716007086249237,-0.002468303088287829,0.0011429277941723663,187
0.21036338806152344,0.015360561210475434,0.0005534410476684571,8.804944029693324e-05,140,7,11,6,0.044583333333333336,"{'n_estimators': 140, 'min_samples_split': 7, 'min_samples_leaf': 11, 'max_depth': 6, 'learning_rate': 0.044583333333333336}",-0.0015599340200246625,-0.0021884193810661635,-0.0034418576417234894,-0.0018473499897266365,-0.002134406747251229,-0.005509239550439043,-0.0015596390798370526,-0.00225370679313969,-0.002274478822362395,-0.001868039065427368,-0.0024637071090997725,0.0011342414720584056,184
0.28497278690338135,0.006191284830752145,0.0007006406784057617,5.470945891343974e-05,120,9,2,10,0.06041666666666667,"{'n_estimators': 120, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_depth': 10, 'learning_rate': 0.06041666666666667}",-0.0018267640267257553,-0.002727351479940406,-0.003606056186532191,-0.002265583555895084,-0.00243070620707353,-0.005645464693675055,-0.0019106138283470637,-0.0022599229827339313,-0.002417697836740149,-0.0019912803920334706,-0.002708144118969664,0.0010917572566103858,281
0.08229832649230957,0.001217101415355398,0.00030231475830078125,3.0371382833547044e-05,140,18,3,2,0.08812500000000001,"{'n_estimators': 140, 'min_samples_split': 18, 'min_samples_leaf': 3, 'max_depth': 2, 'learning_rate': 0.08812500000000001}",-0.0013345558890214392,-0.0021846799691572997,-0.003504541500319463,-0.0017893581882335923,-0.0019941950993808614,-0.005521359832868423,-0.0013863779120534148,-0.0023737345507808673,-0.0028158704795626078,-0.0017504292311537632,-0.0024655102652531733,0.0011942398478986041,185
0.0759995698928833,0.00018460327499785528,0.00028858184814453127,1.5682144021024493e-05,130,16,4,2,0.09604166666666668,"{'n_estimators': 130, 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_depth': 2, 'learning_rate': 0.09604166666666668}",-0.00135407319082322,-0.002225236038636825,-0.003321547466605429,-0.00169725935035766,-0.0019672075580830072,-0.005553789601905541,-0.0013296238161759582,-0.002149136415071678,-0.002860264845304463,-0.001694626348880677,-0.0024152764631844457,0.0012048650282278,142
0.23080885410308838,0.001303328774668197,0.0005567312240600586,2.9240354780284098e-05,120,10,2,8,0.08416666666666668,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 8, 'learning_rate': 0.08416666666666668}",-0.0016101935685108827,-0.003071469145328305,-0.003487934766633532,-0.002214317928726701,-0.0021480994726505304,-0.005755650027857474,-0.0018718255921616267,-0.0022719624613864444,-0.002946690491061957,-0.0019652159818433733,-0.0027343359436160825,0.0011524777700869402,288
