mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.0013437509536743165,0.00011910698553996913,0.00023932456970214843,5.907587108437901e-06,rbf,0.01,1.8448275862068966,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1.8448275862068966}",-0.0022010740041622633,-0.0026629219866345687,-0.003678865826727083,-0.002669915536908285,-0.0040354717091390085,-0.006976014916869118,-0.002118601851331176,-0.003111145297941346,-0.0029626325018618158,-0.0029438240144832356,-0.0033360467646057898,0.0013366790542969577,213
0.015151762962341308,0.0021716416224271135,0.00020647048950195312,1.2960412907530673e-05,linear,0.001,1.8448275862068966,"{'kernel': 'linear', 'gamma': 0.001, 'C': 1.8448275862068966}",-0.0016477600038921642,-0.002337969642485226,-0.0033580903844222573,-0.002682054350719704,-0.002489503049201964,-0.00630054008175361,-0.0019851194241524506,-0.003218498168912194,-0.00332363385893884,-0.002767289286819612,-0.0030110458251298025,0.00122007067048988,99
0.0005892515182495117,7.6510171405896e-05,0.0002089262008666992,5.7081709964929885e-06,rbf,0.001,1.8448275862068966,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1.8448275862068966}",-0.0015616787101139585,-0.002214411099353458,-0.00330996863887538,-0.0024995230653708793,-0.002283197842129093,-0.006392354161635729,-0.0019185920087022728,-0.0028606784342698937,-0.0029928765126990614,-0.0024658644530140823,-0.002849914492616381,0.0012768436293499495,3
0.021651434898376464,0.005636035790115048,0.00030820369720458985,9.255911920546881e-05,linear,1.0,2.5172413793103448,"{'kernel': 'linear', 'gamma': 1.0, 'C': 2.5172413793103448}",-0.0016495116559113686,-0.0023378275817090757,-0.0033367279801832144,-0.0026799543799667994,-0.0024877117396538283,-0.006299042599713943,-0.0019762890307029983,-0.003213951309030661,-0.003325920703100377,-0.002766471890631083,-0.0030073408870603347,0.001219762577498692,79
0.0007505655288696289,6.760488612980988e-05,0.00025155544281005857,1.108041208454228e-05,rbf,1.0,2.5172413793103448,"{'kernel': 'rbf', 'gamma': 1.0, 'C': 2.5172413793103448}",-0.0020180624428280374,-0.002367699670109307,-0.003957613650783862,-0.0024738725301105746,-0.0024026415705899933,-0.005778590799583389,-0.002192749746187194,-0.0028330097484219924,-0.002534329339382009,-0.002617928904686892,-0.0029176498402683254,0.0010774875280568203,34
0.01897890567779541,0.002965467713049951,0.00021789073944091796,4.218142172039275e-05,linear,0.1,2.5172413793103448,"{'kernel': 'linear', 'gamma': 0.1, 'C': 2.5172413793103448}",-0.0016495116559113686,-0.0023378275817090757,-0.0033367279801832144,-0.0026799543799667994,-0.0024877117396538283,-0.006299042599713943,-0.0019762890307029983,-0.003213951309030661,-0.003325920703100377,-0.002766471890631083,-0.0030073408870603347,0.001219762577498692,79
0.0007328987121582031,6.977612082604506e-05,0.0002452850341796875,1.1552259738451635e-05,rbf,0.1,2.5172413793103448,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 2.5172413793103448}",-0.0018431832306063955,-0.0024304570443254942,-0.0038353451928248685,-0.00252651346958282,-0.002997935710274406,-0.00569855213916853,-0.0017968434288359232,-0.0028656984066688005,-0.002657684469849509,-0.0023571633715575896,-0.002900937646369434,0.001084651613088815,4
0.01891143321990967,0.0029521497762444735,0.00019905567169189453,2.063250745422357e-06,linear,0.01,2.5172413793103448,"{'kernel': 'linear', 'gamma': 0.01, 'C': 2.5172413793103448}",-0.0016495116559113686,-0.0023378275817090757,-0.0033367279801832144,-0.0026799543799667994,-0.0024877117396538283,-0.006299042599713943,-0.0019762890307029983,-0.003213951309030661,-0.003325920703100377,-0.002766471890631083,-0.0030073408870603347,0.001219762577498692,79
0.0015268802642822265,0.00020686094507245436,0.00024673938751220705,7.170376832873726e-06,rbf,0.01,2.5172413793103448,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 2.5172413793103448}",-0.0022780660966886072,-0.002703017947055566,-0.0036956756703087593,-0.002598352261521874,-0.004612384373353503,-0.007005077520663424,-0.002098611113006503,-0.0031298256893559553,-0.0030368668601787035,-0.003085225968674185,-0.003424310350080708,0.0013759610566086375,214
0.0189410924911499,0.002935002868136822,0.00019757747650146485,1.2752608413997966e-06,linear,0.001,2.5172413793103448,"{'kernel': 'linear', 'gamma': 0.001, 'C': 2.5172413793103448}",-0.0016495116559113686,-0.0023378275817090757,-0.0033367279801832144,-0.0026799543799667994,-0.0024877117396538283,-0.006299042599713943,-0.0019762890307029983,-0.003213951309030661,-0.003325920703100377,-0.002766471890631083,-0.0030073408870603347,0.001219762577498692,79
0.0006886720657348633,0.0001122413924695583,0.00020976066589355468,5.034867533030629e-06,rbf,0.001,2.5172413793103448,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 2.5172413793103448}",-0.0015531543740819013,-0.0022521373516506482,-0.0033627223334522487,-0.002628715724131773,-0.0022795469005607856,-0.006603634872928359,-0.0019546903700223607,-0.0029245482973184467,-0.003107467791853039,-0.002541651172448868,-0.0029208269188448427,0.0013298357667310737,64
